"Clementi West PO","SAM","Blk 727 Clementi West Street 2 #01-286","1.30434","103.76342","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","",""
"Comcentre","SAM","31B Exeter Road [passageway facing Killiney Road]","1.29894","103.83893","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","",""
"Compass Point","SAM","1 Sengkang Square Level 1 [near taxi stand]","1.39205","103.89506","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","",""
"Compassvale Link","SAM","Blk 275D Compassvale Link (At pillar outside Bake Inc Bakery)","1.38276","103.89392","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","",""
"Costa Del Sol [SAMplus/Posting Box/Smart Locker] ","SAM","74 Bayshore Road #01-34","1.31115","103.9393","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","",""
"Costa Rhu [SAMplus/Posting Box/Smart Locker]","SAM","1 Rhu Cross Clubhouse","1.29611","103.86723","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","",""
"Crawford PO ","SAM","Blk 15 Beach Road #01-4685","1.30355","103.86349","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","",""
"Depot Road Shopping Centre","SAM","Blk 108 Depot Road Depot Heights Shopping Centre [near NTUC Fairprice]","1.28096","103.81051","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","",""
"DownTown East","SAM","2nd flr E!Hub (above escalator) Pasir Ris Close","","","","1000","2200","1000","2200","1000","2200","1000","2200","1000","2200","1000","2200","1000","2200","1000","2200","",""
"Elias Mall","SAM","Blk 625 Elias Road","1.37857","103.94199","","800","2200","800","2200","800","2200","800","2200","800","2200","800","2200","800","2200","800","2200","",""
"Eunos MRT Station","SAM","30 Eunos Crescent Concourse Level","1.31992","103.90286","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","",""
"Fajar Shopping Centre ","SAM","Blk 445 Fajar Road Fajar Shopping Centre [ATM Centre]","1.38398","103.77029","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","",""
"Far East Square","SAM","135 Amoy Street Far East Square [corner near #01-01]","1.28313","103.84821","","800","2200","800","2200","800","2200","800","2200","800","2200","800","2200","800","2200","800","2200","",""
"Fernvale Point ","SAM","21 Sengkang West Avenue Fernvale Point [beside Koufu Food Court]","1.39172","103.87682","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","",""
"Funan The IT Mall","SAM","109 North Bridge Road Funan The IT Mall [near Ya Kun]","1.29131","103.85008","","800","2300","800","2300","800","2300","800","2300","800","2300","800","2300","800","2300","800","2300","",""
"Gek Poh Shopping Centre","SAM","Blk 762 Jurong West Street 75 Gek Poh Shopping Centre [side entrance leading to market]","1.34863","103.69755","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","",""
"Geylang Bahru","SAM","Blk 68 Geylang Bahru [walkway near #01-3227]","1.32191","103.86985","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","",""
"Geylang East PO","SAM","Blk 119 Aljunied Avenue 2 #01-22","1.32105","103.88641","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","",""
"Geylang PO","SAM","447 Geylang Road","1.31323","103.88232","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","",""
"Ghim Moh Estate PO [Weighing Scale]","SAM","Blk 21 Ghim Moh Road #01-225","1.3101","103.78855","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","",""
"Great World City","SAM","1 Kim Seng Promenade [Lobby entrance of Promenade Link]","1.29348","103.83198","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","",""
"Greenridge Shopping Centre","SAM","524A Jelapang Road Greenridge Shopping Centre [Auto lobby]","1.38541","103.76623","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","",""
"HarbourFront Central PO","SAM","1 Maritime Square #03-22 HarbourFront Centre","1.26482","103.819","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","",""
"HarbourFront NEL Station","SAM","1 Telok Blangah Road Concourse Level - Basement 1","1.26533","103.82071","","630","2330","630","2330","630","2330","630","2330","630","2330","630","2330","630","2330","630","2330","",""
"HDB Hub","SAM","480 Lorong 6 Toa Payoh [near lift outside Fire Command Centre]","1.33207","103.84849","","800","2200","800","2200","800","2200","800","2200","800","2200","800","2200","800","2200","800","2200","",""
"Hougang Avenue 8 Blk 683","SAM","Blk 683 Hougang Avenue 8 [near #01-915]","1.37332","103.88637","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","",""
