"Siglap","Post Office","10 Palm Avenue","1.31343","103.93002","","830","1700","830","1700","830","1700","830","1700","830","1700","830","1300","Closed","Closed","Closed","Closed","[""ICA Application"",""POSB Withdrawal and Deposit Services"",""Care for Life"",""Remittance Service""]","Siglap Post Office"
"Simpang Bedok","Post Office","350 Bedok Road","1.33182","103.94777","","830","1700","830","1700","830","1700","830","1700","830","1700","830","1300","Closed","Closed","Closed","Closed","[""ICA Application"",""POSB Withdrawal and Deposit Services"",""Remittance Service""]","Simpang Bedok Post Office"
"Singapore Post Centre","Post Office","10 Eunos Road 8 West Entrance Lvl 1 #01-02 Singapore Post Centre","1.31894","103.89458","","830","2100","830","2100","830","2100","830","2100","830","2100","830","1600","1030","1600","1030","1600","[""ICA Application"",""Collection of ICA Documents"",""POSB Withdrawal and Deposit Services"",""Care for Life"",""ezyCash"",""Remittance Service""]","Singapore Post Centre Main Branch"
"Sun Plaza","Post Office","30 Sembawang Drive #B1-07 Sun Plaza","1.44842","103.81907","","930","1800","930","1800","930","1800","930","1800","930","1800","930","1500","Closed","Closed","Closed","Closed","[""ICA Application"",""Collection of ICA Documents"",""POSB Withdrawal and Deposit Services"",""Care for Life"",""Remittance Service""]","Sun Plaza Post Office"
"Tampines Central","Post Office","1 Tampines Central 5 #01-03 CPF Tampines Building","1.35315","103.9435","","830","2000","830","2000","830","2000","830","2000","830","2000","830","1600","Closed","Closed","Closed","Closed","[""ICA Application"",""Collection of ICA Documents"",""POSB Withdrawal and Deposit Services"",""Care for Life"",""ezyCash"",""Remittance Service""]","Tampines Central Post Office"
"Tanglin","Post Office","56 Tanglin Road","1.30556","103.82277","","830","1700","830","1700","830","1700","830","1700","830","1700","830","1300","Closed","Closed","Closed","Closed","[""ICA Application"",""Collection of ICA Documents"",""POSB Withdrawal and Deposit Services"",""Remittance Service""]","Tanglin Post Office"
"Tanjong Pagar","Post Office","Blk 1 Tanjong Pagar Plaza #01-25","1.27484","103.84271","","830","1700","830","1700","830","1700","830","1700","830","1700","830","1300","Closed","Closed","Closed","Closed","[""ICA Application"",""Collection of ICA Documents"",""POSB Withdrawal and Deposit Services"",""Care for Life"",""ezyCash"",""Remittance Service""]","Tanjong Pagar Post Office"
"Teban Garden","Post Office","Blk 38 Teban Garden Road #01-316","1.32105","103.74298","","830","1700","830","1700","830","1700","830","1700","830","1700","830","1300","Closed","Closed","Closed","Closed","[""ICA Application"",""POSB Withdrawal and Deposit Services"",""Remittance Service""]","Teban Garden Post Office"
"Thomson Road","Post Office","246T Upper Thomson Road","1.35437","103.83399","","830","1700","830","1700","830","2000","830","1700","830","1700","830","1300","Closed","Closed","Closed","Closed","[""ICA Application"",""Collection of ICA Documents"",""POSB Withdrawal and Deposit Services"",""Care for Life"",""Remittance Service""]","Thomson Road Post Office"
"Tiong Bahru","Post Office","Blk 28 Tiong Bahru Road #01-141/147","1.28558","103.83037","","830","1700","830","1700","830","1700","830","1700","830","1700","830","1300","Closed","Closed","Closed","Closed","[""ICA Application"",""POSB Withdrawal and Deposit Services"",""Remittance Service""]","Tiong Bahru Post Office"
"Toa Payoh Central","Post Office","520 Lorong 6 Toa Payoh #02-55 HDB Hub (Biz Two)","1.33198","103.84721","","830","2000","830","2000","830","2000","830","2000","830","2000","830","1500","Closed","Closed","Closed","Closed","[""ICA Application"",""Collection of ICA Documents"",""POSB Withdrawal and Deposit Services"",""Care for Life"",""ezyCash"",""Remittance Service""]","Toa Payoh Central Post Office"
"Toa Payoh North","Post Office","Blk 203 Toa Payoh North #01-1117/1119","1.34208","103.8493","","830","1700","830","1700","830","1700","830","1700","830","1700","830","1300","Closed","Closed","Closed","Closed","[""ICA Application"",""POSB Withdrawal and Deposit Services"",""Remittance Service""]","Toa Payoh North Post Office"
"Towner","Post Office","Blk 101 Towner Road #01-204/206","1.3188","103.86068","","830","1700","830","1700","830","2000","830","1700","830","1700","830","1300","Closed","Closed","Closed","Closed","[""ICA Application"",""POSB Withdrawal and Deposit Services"",""Care for Life"",""Remittance Service""]","Towner Post Office"
"Upper Serangoon Road","Post Office","755 Upper Serangoon Rd","1.35438","103.87826","","830","1700","830","1700","830","1700","830","1700","830","1700","830","1300","Closed","Closed","Closed","Closed","[""ICA Application"",""POSB Withdrawal and Deposit Services"",""Remittance Service""]","Upper Serangoon Road Post Office"
"Woodlands Central","Post Office","900 South Woodlands Drive #03-05/06 Woodlands Civic Centre","1.43527","103.7867","","830","1700","830","1700","830","2000","830","1700","830","1700","830","1300","Closed","Closed","Closed","Closed","[""ICA Application"",""Collection of ICA Documents"",""POSB Withdrawal and Deposit Services"",""Care for Life"",""ezyCash"",""Remittance Service""]","Woodlands Post Office"
"Yishun Central","Post Office","51 Yishun Central 1 #01-09 Yishun 10 Multiplex","1.42995","103.83647","","830","1700","830","1700","830","2000","830","1700","830","1700","830","1300","Closed","Closed","Closed","Closed","[""ICA Application"",""Collection of ICA Documents"",""POSB Withdrawal and Deposit Services"",""Care for Life"",""ezyCash"",""Remittance Service""]","Yishun Central Post Office"
